id,code,description,city,city_eng,street,area,zip,building,latitude,longitude,count
135,WRO05B,Przy sklepie Społem Północ,Wrocław,wroclaw,Osobowicka,dolnośląskie,51-004,133,51.14388,16.98787,0
136,WRO05H,W lokalu,Wrocław,wroclaw,Śrutowa,dolnośląskie,50-257,6,51.11763,17.03405,0
137,WRO05HO,CH RENOMA poziom handlowy -1 koło Kantoru,Wrocław,wroclaw,Świdnicka,dolnośląskie,50-024,40,51.1037,17.03153,0
138,WRO05HP,W sklepie Duży Ben,Wrocław,wroclaw,Architektów,dolnośląskie,54-115,14D,51.13632,16.92841,0
139,WRO05M,Na terenie myjni,Wrocław,wroclaw,Małopanewska,dolnośląskie,54-217,13,51.12194,16.98589,0
140,WRO05N,Przy markecie Kaufland,Wrocław,wroclaw,Ślężna,dolnośląskie,53-302,44/46,51.09284,17.03076,0
141,WRO05W,Przy cukierni JS Jaworscy,Wrocław,wroclaw,Świstackiego,dolnośląskie,50-430,5,51.0984,17.05048,0
142,WRO06A,Przy pasażu handlowym Czerwona Torebka,Wrocław,wroclaw,Kiełczowska,dolnośląskie,51-315,60,51.14621,17.13341,0
143,WRO06APP,Przy wyjeździe z dziedzińca,Wrocław,wroclaw,Plac Grunwaldzki,dolnośląskie,50-365,23,51.11096,17.06192,0
144,WRO06B,Przy sklepie Społem,Wrocław,wroclaw,Kraszewskiego,dolnośląskie,50-229,21,51.12898,17.03302,0
145,WRO06H,W lokalu,Wrocław,wroclaw,Buforowa,dolnośląskie,52-131,49,51.06052,17.05547,0
146,WRO06HO,Na poziomie -1 przy wejściu do toalet,Wrocław,wroclaw,Plac Dominikański,dolnośląskie,50-159,3,51.108,17.04041,0
147,WRO06HP,W sklepie Duży Ben,Wrocław,wroclaw,Benedykta Polaka,dolnośląskie,50-379,14,51.11196,17.05504,0
148,WRO06L,Przy SM Południe,Wrocław,wroclaw,Borowska,dolnośląskie,50-566,114,51.08526,17.03609,0
149,WRO06M,Po prawej stronie od wejścia do apteki Millenium,Wrocław,wroclaw,Fromborska,dolnośląskie,54-111,47,51.1497,16.943,0
150,WRO06N,Przy Centrum Handlowym Arena,Wrocław,wroclaw,Komandorska,dolnośląskie,53-343,66,51.09488,17.02832,0
151,WRO06W,Przy sklepie spożywczym,Wrocław,wroclaw,Pełczyńska,dolnośląskie,51-180,63,51.16945,16.99722,0
152,WRO07A,Przy stacji Shell,Wrocław,wroclaw,Krakowska,dolnośląskie,50-426,70/80,51.09191,17.063,0
153,WRO07H,W lokalu użytkowym,Wrocław,wroclaw,Pigwowa,dolnośląskie,53-006,2,51.05885,17.01494,0
154,WRO07HO,Przy kasach sklepu Społem,Wrocław,wroclaw,Szklarska,dolnośląskie,54-138,28,51.13323,16.95774,0
155,WRO07HP,W sklepie Duży Ben,Wrocław,wroclaw,Dziadoszańska,dolnośląskie,54-153,50,51.13748,16.9797,0
156,WRO07L,Budynek handlowy przy s.m. Południe,Wrocław,wroclaw,Widna,dolnośląskie,50-543,17,51.08505,17.0447,0
157,WRO07M,Po prawej stronie od wejścia do Pasażu,Wrocław,wroclaw,Mińska,dolnośląskie,54-610,58A,51.1043,16.94649,0
158,WRO07W,Na terenie Osiedla. przy klatce numer 9,Wrocław,wroclaw,Pionierów,dolnośląskie,52-112,9,51.06723,17.08081,0
159,WRO08A,Stacja paliw BP,Wrocław,wroclaw,Grabiszyńska,dolnośląskie,53-501,266,51.0939,16.979,0
160,WRO08APP,Z prawej strony posesji,Wrocław,wroclaw,Ukraińska,dolnośląskie,54-401,8,51.111821933,16.962951435,0
161,WRO08HP,W sklepie Duży Ben,Wrocław,wroclaw,Wojaczka,dolnośląskie,51-169,1/1B,51.14625,17.072378,0
162,WRO08L,Przy siedziebie wspólnoty,Wrocław,wroclaw,Krynicka,dolnośląskie,50-555,4,51.08221,17.04642,0
163,WRO08N,Przy sklepie Stokrotka. przodem do parkingu.,Wrocław,wroclaw,Sielska,dolnośląskie,54-144,3,51.14021,16.96273,0
164,WRO08W,Market Dino,Wrocław,wroclaw,Księgarska,dolnośląskie,51-180,2,51.17461,17.02228,0
165,WRO09A,Przy galerii wnętrz DOMAR,Wrocław,wroclaw,Braniborska,dolnośląskie,53-680,14,51.11017,17.01523,0
166,WRO09B,Przy osiedlowym sklepie Żabka,Wrocław,wroclaw,Okulickiego,dolnośląskie,51-212,19,51.16267,17.12523,0
167,WRO09H,W lokalu,Wrocław,wroclaw,Orzechowa,dolnośląskie,50-540,108,51.07863,17.0451,0
168,WRO09M,Na parkingu przy biurowcu,Wrocław,wroclaw,Strachocińska,dolnośląskie,51-511,53,51.10914,17.13844,0
169,WRO09N,Przy Aptece Lege Artis,Wrocław,wroclaw,Grota-Roweckiego,dolnośląskie,52-232,76,51.06235,17.03271,0
170,WRO09W,Przy wyjściu na podwórze,Wrocław,wroclaw,Bieńkowskiego,dolnośląskie,54-115,22,51.13485,16.92427,0
171,WRO100M,Na osiedlu,Wrocław,wroclaw,Wielka,dolnośląskie,53-338,59,51.09161,17.02448,0
172,WRO101M,Od ulicy Rękodzielniczej,Wrocław,wroclaw,Górnicza,dolnośląskie,54-150,48,51.1364,16.95729,0
173,WRO103M,Przy parkingu obok Żabki.,Wrocław,wroclaw,Czekoladowa,dolnośląskie,52-326,58A,51.0594,16.974,0
174,WRO104M,Przy posesji prywatnej. na wprost bramki wejściowej.,Wrocław,wroclaw,Morelowskiego,dolnośląskie,52-429,18,51.0728,16.9708,0
175,WRO105M,Na wjeździe do biurowca,Wrocław,wroclaw,Skargi,dolnośląskie,50-082,3,51.10623,17.03805,0
176,WRO106M,Przy biurowcu,Wrocław,wroclaw,Borowska,dolnośląskie,50-558,272,51.07135,17.03374,0
177,WRO107M,W ogrodzeniu parkingu od strony osiedla,Wrocław,wroclaw,Poleska,dolnośląskie,51-354,48,51.14336,17.12853,0
178,WRO108M,Przy Lidlu,Wrocław,wroclaw,Strachocińska,dolnośląskie,51-518,180,51.10272,17.15796,0
179,WRO109M,Po lewej stronie budynku. przy chodniku,Wrocław,wroclaw,Fabryczna,dolnośląskie,53-609,29-31,51.1128,16.98121,0
180,WRO10B,Przy Centrum Handlowyn Borek,Wrocław,wroclaw,al. Hallera,dolnośląskie,53-324,52,51.08927,16.9997,0
